"Domaine de formation","Canton de l'entreprise formatrice","Type de formation","Mode d'enseignement","Sexe","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Domaine de formation - total","Neuchâtel","CFC","Plein temps en école","Sexe - total",1828,1664,1526,1429,1293,1210,1075,1049,964,888
"Domaine de formation - total","Neuchâtel","CFC","Dual","Sexe - total",3592,3656,3608,3619,3602,3675,3736,3825,3846,3822
"Domaine de formation - total","Neuchâtel","AFP","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Domaine de formation - total","Neuchâtel","AFP","Dual","Sexe - total",300,325,293,318,338,351,343,316,293,289
"Domaine de formation - total","Genève","CFC","Plein temps en école","Sexe - total",4111,4240,4303,4158,4089,3954,3808,3762,3698,3828
"Domaine de formation - total","Genève","CFC","Dual","Sexe - total",4612,4607,4640,4651,4648,4787,4841,4814,4942,5073
"Domaine de formation - total","Genève","AFP","Plein temps en école","Sexe - total",82,82,68,82,97,110,101,108,96,101
"Domaine de formation - total","Genève","AFP","Dual","Sexe - total",409,454,482,463,490,459,453,483,479,407
"Domaine de formation - total","Jura","CFC","Plein temps en école","Sexe - total",716,690,645,636,654,661,678,644,628,610
"Domaine de formation - total","Jura","CFC","Dual","Sexe - total",1597,1598,1582,1555,1503,1512,1489,1489,1459,1534
"Domaine de formation - total","Jura","AFP","Plein temps en école","Sexe - total",29,28,22,23,16,13,14,19,19,19
"Domaine de formation - total","Jura","AFP","Dual","Sexe - total",103,85,76,66,89,97,99,75,76,102
"Techniques audiovisuelles et production multimédia","Suisse","CFC","Plein temps en école","Sexe - total",1378,1404,1412,1386,1399,1416,1421,1426,1439,1424
"Techniques audiovisuelles et production multimédia","Suisse","CFC","Dual","Sexe - total",3260,3257,3283,3236,3286,3279,3326,3381,3458,3520
"Techniques audiovisuelles et production multimédia","Suisse","AFP","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Techniques audiovisuelles et production multimédia","Suisse","AFP","Dual","Sexe - total",63,67,60,76,80,78,63,62,71,79
"Techniques audiovisuelles et production multimédia","Zürich","CFC","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Techniques audiovisuelles et production multimédia","Zürich","CFC","Dual","Sexe - total",616,602,596,589,643,675,690,714,751,782
"Techniques audiovisuelles et production multimédia","Zürich","AFP","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Techniques audiovisuelles et production multimédia","Zürich","AFP","Dual","Sexe - total",9,5,8,13,8,7,6,4,6,9
"Techniques audiovisuelles et production multimédia","Bern / Berne","CFC","Plein temps en école","Sexe - total",73,71,68,69,68,73,74,81,92,99
"Techniques audiovisuelles et production multimédia","Bern / Berne","CFC","Dual","Sexe - total",595,658,693,700,725,704,717,708,686,691
"Techniques audiovisuelles et production multimédia","Bern / Berne","AFP","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Techniques audiovisuelles et production multimédia","Bern / Berne","AFP","Dual","Sexe - total",3,5,4,7,16,14,11,10,13,16
"Techniques audiovisuelles et production multimédia","Luzern","CFC","Plein temps en école","Sexe - total",96,99,98,103,96,94,99,97,98,102
"Techniques audiovisuelles et production multimédia","Luzern","CFC","Dual","Sexe - total",212,202,199,205,200,209,210,214,219,228
"Techniques audiovisuelles et production multimédia","Luzern","AFP","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Techniques audiovisuelles et production multimédia","Luzern","AFP","Dual","Sexe - total",4,7,6,6,4,5,5,3,4,4
"Techniques audiovisuelles et production multimédia","Uri","CFC","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Techniques audiovisuelles et production multimédia","Uri","CFC","Dual","Sexe - total",16,18,17,18,16,17,17,16,18,18
"Techniques audiovisuelles et production multimédia","Uri","AFP","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Techniques audiovisuelles et production multimédia","Uri","AFP","Dual","Sexe - total",0,1,1,0,0,0,0,0,0,0
"Techniques audiovisuelles et production multimédia","Schwyz","CFC","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Techniques audiovisuelles et production multimédia","Schwyz","CFC","Dual","Sexe - total",32,28,28,28,27,24,23,19,17,17
