"Domaine de formation","Canton de l'entreprise formatrice","Type de formation","Mode d'enseignement","Sexe","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Textiles (vêtements, chaussures et cuir)","Valais / Wallis","AFP","Dual","Sexe - total",1,2,0,0,0,0,0,0,1,0
"Textiles (vêtements, chaussures et cuir)","Neuchâtel","CFC","Plein temps en école","Sexe - total",59,57,49,50,54,49,47,64,62,54
"Textiles (vêtements, chaussures et cuir)","Neuchâtel","CFC","Dual","Sexe - total",3,3,2,2,4,2,3,2,2,3
"Textiles (vêtements, chaussures et cuir)","Neuchâtel","AFP","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Textiles (vêtements, chaussures et cuir)","Neuchâtel","AFP","Dual","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Textiles (vêtements, chaussures et cuir)","Genève","CFC","Plein temps en école","Sexe - total",35,38,34,37,36,40,43,39,41,40
"Textiles (vêtements, chaussures et cuir)","Genève","CFC","Dual","Sexe - total",7,5,6,5,5,3,2,2,5,8
"Textiles (vêtements, chaussures et cuir)","Genève","AFP","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Textiles (vêtements, chaussures et cuir)","Genève","AFP","Dual","Sexe - total",1,1,1,0,0,0,0,1,0,0
"Textiles (vêtements, chaussures et cuir)","Jura","CFC","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Textiles (vêtements, chaussures et cuir)","Jura","CFC","Dual","Sexe - total",2,1,1,0,0,0,0,0,0,1
"Textiles (vêtements, chaussures et cuir)","Jura","AFP","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Textiles (vêtements, chaussures et cuir)","Jura","AFP","Dual","Sexe - total",0,0,0,0,0,0,1,1,0,0
"Architecture et urbanisme","Suisse","CFC","Plein temps en école","Sexe - total",399,373,362,355,346,356,329,312,323,322
"Architecture et urbanisme","Suisse","CFC","Dual","Sexe - total",6236,6110,5995,5992,5862,5805,5753,5767,5792,5831
"Architecture et urbanisme","Suisse","AFP","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Architecture et urbanisme","Suisse","AFP","Dual","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Architecture et urbanisme","Zürich","CFC","Plein temps en école","Sexe - total",1,0,1,0,0,0,0,0,0,0
"Architecture et urbanisme","Zürich","CFC","Dual","Sexe - total",1013,1018,980,1014,966,1001,993,999,1027,1040
"Architecture et urbanisme","Zürich","AFP","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Architecture et urbanisme","Zürich","AFP","Dual","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Architecture et urbanisme","Bern / Berne","CFC","Plein temps en école","Sexe - total",2,1,0,1,0,0,0,0,0,1
"Architecture et urbanisme","Bern / Berne","CFC","Dual","Sexe - total",875,848,867,844,839,831,814,820,802,798
"Architecture et urbanisme","Bern / Berne","AFP","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Architecture et urbanisme","Bern / Berne","AFP","Dual","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Architecture et urbanisme","Luzern","CFC","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Architecture et urbanisme","Luzern","CFC","Dual","Sexe - total",378,376,366,349,321,318,308,300,308,311
"Architecture et urbanisme","Luzern","AFP","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Architecture et urbanisme","Luzern","AFP","Dual","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Architecture et urbanisme","Uri","CFC","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Architecture et urbanisme","Uri","CFC","Dual","Sexe - total",36,34,35,34,30,36,34,34,34,27
"Architecture et urbanisme","Uri","AFP","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Architecture et urbanisme","Uri","AFP","Dual","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Architecture et urbanisme","Schwyz","CFC","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Architecture et urbanisme","Schwyz","CFC","Dual","Sexe - total",136,130,127,130,129,132,139,140,146,153
"Architecture et urbanisme","Schwyz","AFP","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Architecture et urbanisme","Schwyz","AFP","Dual","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Architecture et urbanisme","Obwalden","CFC","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Architecture et urbanisme","Obwalden","CFC","Dual","Sexe - total",36,36,33,37,32,34,35,31,36,36
"Architecture et urbanisme","Obwalden","AFP","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Architecture et urbanisme","Obwalden","AFP","Dual","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Architecture et urbanisme","Nidwalden","CFC","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Architecture et urbanisme","Nidwalden","CFC","Dual","Sexe - total",40,36,37,37,37,35,32,32,37,41
"Architecture et urbanisme","Nidwalden","AFP","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Architecture et urbanisme","Nidwalden","AFP","Dual","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Architecture et urbanisme","Glarus","CFC","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Architecture et urbanisme","Glarus","CFC","Dual","Sexe - total",39,36,33,30,33,36,38,36,39,43
"Architecture et urbanisme","Glarus","AFP","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Architecture et urbanisme","Glarus","AFP","Dual","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Architecture et urbanisme","Zug","CFC","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Architecture et urbanisme","Zug","CFC","Dual","Sexe - total",135,138,130,129,123,117,120,121,119,129
"Architecture et urbanisme","Zug","AFP","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Architecture et urbanisme","Zug","AFP","Dual","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Architecture et urbanisme","Fribourg / Freiburg","CFC","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Architecture et urbanisme","Fribourg / Freiburg","CFC","Dual","Sexe - total",241,238,235,234,230,231,229,220,220,227
"Architecture et urbanisme","Fribourg / Freiburg","AFP","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Architecture et urbanisme","Fribourg / Freiburg","AFP","Dual","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Architecture et urbanisme","Solothurn","CFC","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Architecture et urbanisme","Solothurn","CFC","Dual","Sexe - total",165,161,159,160,161,155,152,155,148,142
"Architecture et urbanisme","Solothurn","AFP","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Architecture et urbanisme","Solothurn","AFP","Dual","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Architecture et urbanisme","Basel-Stadt","CFC","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Architecture et urbanisme","Basel-Stadt","CFC","Dual","Sexe - total",139,131,134,124,121,119,119,122,122,121
"Architecture et urbanisme","Basel-Stadt","AFP","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Architecture et urbanisme","Basel-Stadt","AFP","Dual","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Architecture et urbanisme","Basel-Landschaft","CFC","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Architecture et urbanisme","Basel-Landschaft","CFC","Dual","Sexe - total",128,133,136,124,126,123,128,123,124,122
"Architecture et urbanisme","Basel-Landschaft","AFP","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Architecture et urbanisme","Basel-Landschaft","AFP","Dual","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Architecture et urbanisme","Schaffhausen","CFC","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Architecture et urbanisme","Schaffhausen","CFC","Dual","Sexe - total",58,56,57,55,56,47,48,51,55,66
"Architecture et urbanisme","Schaffhausen","AFP","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Architecture et urbanisme","Schaffhausen","AFP","Dual","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Architecture et urbanisme","Appenzell Ausserrhoden","CFC","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Architecture et urbanisme","Appenzell Ausserrhoden","CFC","Dual","Sexe - total",46,42,35,40,38,39,36,35,35,30
"Architecture et urbanisme","Appenzell Ausserrhoden","AFP","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Architecture et urbanisme","Appenzell Ausserrhoden","AFP","Dual","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Architecture et urbanisme","Appenzell Innerrhoden","CFC","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Architecture et urbanisme","Appenzell Innerrhoden","CFC","Dual","Sexe - total",14,10,12,15,14,13,12,13,11,17
"Architecture et urbanisme","Appenzell Innerrhoden","AFP","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Architecture et urbanisme","Appenzell Innerrhoden","AFP","Dual","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Architecture et urbanisme","St. Gallen","CFC","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,1,1,1
"Architecture et urbanisme","St. Gallen","CFC","Dual","Sexe - total",461,444,455,452,451,448,452,445,449,439
"Architecture et urbanisme","St. Gallen","AFP","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Architecture et urbanisme","St. Gallen","AFP","Dual","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Architecture et urbanisme","Graubünden / Grigioni / Grischun","CFC","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Architecture et urbanisme","Graubünden / Grigioni / Grischun","CFC","Dual","Sexe - total",246,227,222,230,233,238,226,232,230,233
"Architecture et urbanisme","Graubünden / Grigioni / Grischun","AFP","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Architecture et urbanisme","Graubünden / Grigioni / Grischun","AFP","Dual","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Architecture et urbanisme","Aargau","CFC","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Architecture et urbanisme","Aargau","CFC","Dual","Sexe - total",478,476,441,435,438,421,422,433,428,427
"Architecture et urbanisme","Aargau","AFP","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Architecture et urbanisme","Aargau","AFP","Dual","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Architecture et urbanisme","Thurgau","CFC","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Architecture et urbanisme","Thurgau","CFC","Dual","Sexe - total",204,200,183,195,194,200,205,215,202,203
"Architecture et urbanisme","Thurgau","AFP","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Architecture et urbanisme","Thurgau","AFP","Dual","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Architecture et urbanisme","Ticino","CFC","Plein temps en école","Sexe - total",127,123,125,126,126,132,123,117,127,124
"Architecture et urbanisme","Ticino","CFC","Dual","Sexe - total",214,211,221,218,218,203,196,196,186,190
"Architecture et urbanisme","Ticino","AFP","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Architecture et urbanisme","Ticino","AFP","Dual","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Architecture et urbanisme","Vaud","CFC","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Architecture et urbanisme","Vaud","CFC","Dual","Sexe - total",550,544,504,521,509,456,451,448,450,451
"Architecture et urbanisme","Vaud","AFP","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Architecture et urbanisme","Vaud","AFP","Dual","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Architecture et urbanisme","Valais / Wallis","CFC","Plein temps en école","Sexe - total",0,0,0,1,1,2,3,1,0,1
"Architecture et urbanisme","Valais / Wallis","CFC","Dual","Sexe - total",321,316,315,303,297,299,300,309,315,322
"Architecture et urbanisme","Valais / Wallis","AFP","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Architecture et urbanisme","Valais / Wallis","AFP","Dual","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Architecture et urbanisme","Neuchâtel","CFC","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Architecture et urbanisme","Neuchâtel","CFC","Dual","Sexe - total",106,99,96,105,102,102,93,89,90,85
"Architecture et urbanisme","Neuchâtel","AFP","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Architecture et urbanisme","Neuchâtel","AFP","Dual","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Architecture et urbanisme","Genève","CFC","Plein temps en école","Sexe - total",269,249,236,227,219,222,203,193,195,195
"Architecture et urbanisme","Genève","CFC","Dual","Sexe - total",118,112,119,116,104,108,117,113,120,118
"Architecture et urbanisme","Genève","AFP","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Architecture et urbanisme","Genève","AFP","Dual","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Architecture et urbanisme","Jura","CFC","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Architecture et urbanisme","Jura","CFC","Dual","Sexe - total",59,58,63,61,60,63,54,55,59,60
"Architecture et urbanisme","Jura","AFP","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Architecture et urbanisme","Jura","AFP","Dual","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Construction et génie civil","Suisse","CFC","Plein temps en école","Sexe - total",71,71,63,55,52,43,38,33,29,20
"Construction et génie civil","Suisse","CFC","Dual","Sexe - total",17115,16396,16356,15845,15512,15224,15049,14612,14952,15294
"Construction et génie civil","Suisse","AFP","Plein temps en école","Sexe - total",14,15,8,10,10,12,9,5,9,8
"Construction et génie civil","Suisse","AFP","Dual","Sexe - total",1089,1315,1403,1569,1786,1827,1793,1644,1539,1473
"Construction et génie civil","Zürich","CFC","Plein temps en école","Sexe - total",1,0,0,0,0,0,0,0,0,0
"Construction et génie civil","Zürich","CFC","Dual","Sexe - total",2267,2207,2184,2130,2100,2089,2080,2008,2026,2089
"Construction et génie civil","Zürich","AFP","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Construction et génie civil","Zürich","AFP","Dual","Sexe - total",163,212,240,266,263,269,286,248,227,230
"Construction et génie civil","Bern / Berne","CFC","Plein temps en école","Sexe - total",34,33,33,31,27,26,26,25,27,19
"Construction et génie civil","Bern / Berne","CFC","Dual","Sexe - total",2530,2379,2397,2312,2273,2234,2168,2108,2171,2261
"Construction et génie civil","Bern / Berne","AFP","Plein temps en école","Sexe - total",14,11,8,10,10,12,9,5,8,8
"Construction et génie civil","Bern / Berne","AFP","Dual","Sexe - total",116,153,150,152,213,238,223,184,184,164
"Construction et génie civil","Luzern","CFC","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Construction et génie civil","Luzern","CFC","Dual","Sexe - total",1106,1061,1067,992,956,924,911,882,897,898
"Construction et génie civil","Luzern","AFP","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Construction et génie civil","Luzern","AFP","Dual","Sexe - total",77,94,100,125,140,134,147,124,118,102
"Construction et génie civil","Uri","CFC","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Construction et génie civil","Uri","CFC","Dual","Sexe - total",157,150,143,129,120,122,111,101,107,110
"Construction et génie civil","Uri","AFP","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Construction et génie civil","Uri","AFP","Dual","Sexe - total",6,9,8,9,11,9,8,8,9,11
"Construction et génie civil","Schwyz","CFC","Plein temps en école","Sexe - total",1,1,0,0,0,0,0,0,0,0
"Construction et génie civil","Schwyz","CFC","Dual","Sexe - total",407,388,386,369,371,379,370,384,385,388
"Construction et génie civil","Schwyz","AFP","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Construction et génie civil","Schwyz","AFP","Dual","Sexe - total",20,29,24,26,31,32,33,35,27,21
"Construction et génie civil","Obwalden","CFC","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Construction et génie civil","Obwalden","CFC","Dual","Sexe - total",112,101,108,105,96,100,102,102,114,117
"Construction et génie civil","Obwalden","AFP","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Construction et génie civil","Obwalden","AFP","Dual","Sexe - total",9,6,3,3,7,9,12,11,8,8
"Construction et génie civil","Nidwalden","CFC","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Construction et génie civil","Nidwalden","CFC","Dual","Sexe - total",120,128,138,132,110,107,108,102,106,97
"Construction et génie civil","Nidwalden","AFP","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Construction et génie civil","Nidwalden","AFP","Dual","Sexe - total",6,9,10,8,6,5,8,2,2,2
"Construction et génie civil","Glarus","CFC","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Construction et génie civil","Glarus","CFC","Dual","Sexe - total",155,149,130,122,131,124,110,111,115,125
"Construction et génie civil","Glarus","AFP","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Construction et génie civil","Glarus","AFP","Dual","Sexe - total",9,8,16,21,13,18,21,18,12,19
"Construction et génie civil","Zug","CFC","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Construction et génie civil","Zug","CFC","Dual","Sexe - total",287,280,278,276,250,240,243,230,238,235
"Construction et génie civil","Zug","AFP","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,1,0
"Construction et génie civil","Zug","AFP","Dual","Sexe - total",14,18,27,22,24,23,24,31,29,32
"Construction et génie civil","Fribourg / Freiburg","CFC","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Construction et génie civil","Fribourg / Freiburg","CFC","Dual","Sexe - total",721,668,707,722,694,669,626,626,659,692
"Construction et génie civil","Fribourg / Freiburg","AFP","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Construction et génie civil","Fribourg / Freiburg","AFP","Dual","Sexe - total",41,49,53,42,52,49,52,43,53,50
"Construction et génie civil","Solothurn","CFC","Plein temps en école","Sexe - total",0,0,0,0,0,2,1,1,1,0
"Construction et génie civil","Solothurn","CFC","Dual","Sexe - total",501,454,466,450,439,398,412,412,416,434
"Construction et génie civil","Solothurn","AFP","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Construction et génie civil","Solothurn","AFP","Dual","Sexe - total",40,46,60,72,84,91,67,65,57,43
"Construction et génie civil","Basel-Stadt","CFC","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Construction et génie civil","Basel-Stadt","CFC","Dual","Sexe - total",270,271,273,248,258,240,226,216,202,210
"Construction et génie civil","Basel-Stadt","AFP","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Construction et génie civil","Basel-Stadt","AFP","Dual","Sexe - total",29,31,20,34,43,53,45,42,40,29
"Construction et génie civil","Basel-Landschaft","CFC","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Construction et génie civil","Basel-Landschaft","CFC","Dual","Sexe - total",550,533,539,508,502,501,530,507,523,501
"Construction et génie civil","Basel-Landschaft","AFP","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Construction et génie civil","Basel-Landschaft","AFP","Dual","Sexe - total",55,56,50,67,68,58,68,66,46,64
"Construction et génie civil","Schaffhausen","CFC","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Construction et génie civil","Schaffhausen","CFC","Dual","Sexe - total",195,199,221,212,196,198,195,198,184,202
"Construction et génie civil","Schaffhausen","AFP","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Construction et génie civil","Schaffhausen","AFP","Dual","Sexe - total",19,15,15,22,25,21,17,19,22,15
"Construction et génie civil","Appenzell Ausserrhoden","CFC","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Construction et génie civil","Appenzell Ausserrhoden","CFC","Dual","Sexe - total",124,108,112,104,103,115,115,106,104,102
"Construction et génie civil","Appenzell Ausserrhoden","AFP","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Construction et génie civil","Appenzell Ausserrhoden","AFP","Dual","Sexe - total",3,7,6,5,6,6,5,2,3,7
"Construction et génie civil","Appenzell Innerrhoden","CFC","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Construction et génie civil","Appenzell Innerrhoden","CFC","Dual","Sexe - total",59,52,65,66,63,64,56,61,68,72
"Construction et génie civil","Appenzell Innerrhoden","AFP","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Construction et génie civil","Appenzell Innerrhoden","AFP","Dual","Sexe - total",1,2,3,4,5,1,2,3,2,1
"Construction et génie civil","St. Gallen","CFC","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Construction et génie civil","St. Gallen","CFC","Dual","Sexe - total",1439,1383,1364,1322,1322,1291,1267,1227,1267,1274
"Construction et génie civil","St. Gallen","AFP","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Construction et génie civil","St. Gallen","AFP","Dual","Sexe - total",86,95,99,108,123,129,138,110,100,115
"Construction et génie civil","Graubünden / Grigioni / Grischun","CFC","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Construction et génie civil","Graubünden / Grigioni / Grischun","CFC","Dual","Sexe - total",519,488,478,480,511,508,478,448,457,466
"Construction et génie civil","Graubünden / Grigioni / Grischun","AFP","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Construction et génie civil","Graubünden / Grigioni / Grischun","AFP","Dual","Sexe - total",48,33,32,40,47,46,40,33,37,32
"Construction et génie civil","Aargau","CFC","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Construction et génie civil","Aargau","CFC","Dual","Sexe - total",1278,1235,1230,1138,1127,1106,1105,1058,1095,1151
"Construction et génie civil","Aargau","AFP","Plein temps en école","Sexe - total",0,1,0,0,0,0,0,0,0,0
"Construction et génie civil","Aargau","AFP","Dual","Sexe - total",86,105,118,133,156,145,136,145,138,128
"Construction et génie civil","Thurgau","CFC","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Construction et génie civil","Thurgau","CFC","Dual","Sexe - total",685,652,633,622,593,583,561,566,596,617
"Construction et génie civil","Thurgau","AFP","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Construction et génie civil","Thurgau","AFP","Dual","Sexe - total",38,53,58,70,70,66,60,60,53,40
"Construction et génie civil","Ticino","CFC","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Construction et génie civil","Ticino","CFC","Dual","Sexe - total",716,720,728,725,712,711,738,688,647,633
"Construction et génie civil","Ticino","AFP","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Construction et génie civil","Ticino","AFP","Dual","Sexe - total",35,41,50,52,46,43,48,53,55,44
"Construction et génie civil","Vaud","CFC","Plein temps en école","Sexe - total",0,0,0,1,0,0,0,0,0,0
"Construction et génie civil","Vaud","CFC","Dual","Sexe - total",1223,1138,1078,1073,1045,1006,970,898,941,954
"Construction et génie civil","Vaud","AFP","Plein temps en école","Sexe - total",0,3,0,0,0,0,0,0,0,0
"Construction et génie civil","Vaud","AFP","Dual","Sexe - total",84,107,126,157,194,196,168,168,157,161
"Construction et génie civil","Valais / Wallis","CFC","Plein temps en école","Sexe - total",0,0,0,0,0,0,2,1,1,0
"Construction et génie civil","Valais / Wallis","CFC","Dual","Sexe - total",812,799,797,756,696,676,727,708,731,751
"Construction et génie civil","Valais / Wallis","AFP","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Construction et génie civil","Valais / Wallis","AFP","Dual","Sexe - total",67,88,67,66,87,97,94,82,72,72
"Construction et génie civil","Neuchâtel","CFC","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Construction et génie civil","Neuchâtel","CFC","Dual","Sexe - total",296,289,271,279,267,274,270,278,289,289
"Construction et génie civil","Neuchâtel","AFP","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Construction et génie civil","Neuchâtel","AFP","Dual","Sexe - total",6,16,21,24,28,27,23,28,31,24
"Construction et génie civil","Genève","CFC","Plein temps en école","Sexe - total",35,37,30,23,25,15,9,6,0,0
"Construction et génie civil","Genève","CFC","Dual","Sexe - total",423,408,408,418,413,407,409,420,444,460
"Construction et génie civil","Genève","AFP","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Construction et génie civil","Genève","AFP","Dual","Sexe - total",28,31,42,36,36,46,53,54,52,49
"Construction et génie civil","Jura","CFC","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,1
"Construction et génie civil","Jura","CFC","Dual","Sexe - total",163,156,155,155,164,158,161,167,170,166
"Construction et génie civil","Jura","AFP","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Construction et génie civil","Jura","AFP","Dual","Sexe - total",3,2,5,5,8,16,15,10,5,10
"Culture et élevage","Suisse","CFC","Plein temps en école","Sexe - total",0,10,14,10,0,0,0,0,0,0
"Culture et élevage","Suisse","CFC","Dual","Sexe - total",3454,3515,3618,3553,3435,3574,3787,3885,3944,3870
"Culture et élevage","Suisse","AFP","Plein temps en école","Sexe - total",0,0,0,1,0,0,0,0,0,0
"Culture et élevage","Suisse","AFP","Dual","Sexe - total",312,313,278,296,245,233,226,243,237,254
"Culture et élevage","Zürich","CFC","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Culture et élevage","Zürich","CFC","Dual","Sexe - total",290,289,289,285,268,282,296,309,315,333
"Culture et élevage","Zürich","AFP","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Culture et élevage","Zürich","AFP","Dual","Sexe - total",38,34,28,26,22,23,34,25,23,22
"Culture et élevage","Bern / Berne","CFC","Plein temps en école","Sexe - total",0,0,0,1,0,0,0,0,0,0
"Culture et élevage","Bern / Berne","CFC","Dual","Sexe - total",709,751,769,773,728,789,844,872,842,794
"Culture et élevage","Bern / Berne","AFP","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Culture et élevage","Bern / Berne","AFP","Dual","Sexe - total",75,98,74,81,65,65,59,44,46,56
"Culture et élevage","Luzern","CFC","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Culture et élevage","Luzern","CFC","Dual","Sexe - total",281,286,280,280,262,259,290,277,293,305
"Culture et élevage","Luzern","AFP","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Culture et élevage","Luzern","AFP","Dual","Sexe - total",25,28,22,16,21,17,18,27,16,14
"Culture et élevage","Uri","CFC","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Culture et élevage","Uri","CFC","Dual","Sexe - total",52,53,57,60,58,58,64,61,65,68
"Culture et élevage","Uri","AFP","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Culture et élevage","Uri","AFP","Dual","Sexe - total",3,3,0,1,1,0,0,0,0,0
