"No. SD"	"Nom F"	"SB-Code"	"Créé le"	"Modifié le"
"0.611.9.2"	"Secrétaire de direction (BF), abr. 1980"	""	"11.12.2003"	"13.03.2006"	
"0.611.69.5"	"Secrétaire dentaire"	""	"07.02.2008"	"27.02.2008"	
"0.611.107.0"	"Secrétaire juridique"	""	"03.01.2006"	"28.09.2018"	
"0.611.69.0"	"Secrétaire médical/e"	""	"05.11.1991"	"19.04.2006"	
"0.611.69.3"	"Secrétaire médical/e H+"	""	"11.12.2003"	"08.08.2006"	
"0.612.0.0"	"Marketing"	""	"29.10.1991"	"28.08.2007"	
"0.612.7.3"	"Assistant/e en marketing direct (BF), abr. 2001"	""	"23.10.2008"	"23.10.2008"	
"0.612.11.1"	"Assistant/e en relations publiques (BF), abr. 1991"	""	"23.03.2004"	"09.02.2006"	
"0.612.16.0"	"Chargé/e de communication"	""	"17.07.2001"	"22.10.2004"	
"0.612.14.0"	"Chargé/e de communication (Polycom)"	""	"09.02.2000"	"15.05.2013"	
"0.612.6.0"	"Chef/fe de marketing dipl. (DF)"	""	"06.11.1991"	"09.07.2019"	
"0.612.1.0"	"Chef/fe de produit"	""	"14.11.1994"	"25.10.2004"	
"0.612.5.1"	"Chef/fe de publicité dipl. (DF), abr. 2001"	""	"11.12.2003"	"15.05.2006"	
"0.612.13.0"	"Concepteur/trice et rédacteur/trice (BF)"	""	"06.11.1991"	"05.12.2024"	
"0.612.13.1"	"Concepteur/trice publicitaire"	""	"11.12.2003"	"26.03.2009"	
"0.612.5.2"	"Conseiller/ère en communication (DF), abr. 2010"	""	"05.08.2010"	"05.08.2010"	
"0.612.5.3"	"Conseiller/ère en relations publiques dipl. (DF), abr. 2022"	""	"30.03.2022"	"27.04.2022"	
"0.612.19.2"	"Event manager"	""	"08.12.2008"	"30.04.2013"	
"0.612.22.0"	"Manager en loisirs HES"	""	"27.11.2018"	"24.09.2019"	
"0.612.21.0"	"Marketing (divers)"	""	"26.01.2011"	""	
"0.612.20.0"	"Marketing manager dipl. ES"	""	"21.05.2008"	"21.09.2022"	
"0.612.19.0"	"Organisateur/trice d'événements"	""	"29.08.2007"	"07.05.2013"	
"0.612.19.3"	"Organisateur/trice de manifestations"	""	"05.01.2009"	"07.05.2013"	
"0.612.19.1"	"Organisateur/trice de mariages"	""	"29.08.2007"	"29.08.2007"	
"0.612.9.3"	"Planificateur/trice en communication (BF), abr. 2018"	""	"15.03.2018"	"20.11.2018"	
"0.612.9.2"	"Planificateur/trice en communication de marketing (BF), abr. 2008"	""	"23.01.2007"	"01.12.2008"	
"0.612.17.0"	"Rédacteur/trice en relations publiques"	""	"11.08.2004"	"25.10.2004"	
"0.612.13.2"	"Rédacteur/trice publicitaire (BF), abr. 2024"	""	"25.10.2024"	"05.12.2024"	
"0.612.5.0"	"Responsable de la communication (DF)"	""	"17.07.2001"	"29.03.2022"	
"0.612.9.0"	"Spécialiste en communication (BF)"	""	"06.11.1991"	"28.11.2018"	
"0.612.15.0"	"Spécialiste en études de marché"	""	"06.11.1991"	"22.10.2004"	
"0.612.7.0"	"Spécialiste en marketing (BF)"	""	"06.11.1991"	"23.10.2008"	
"0.612.20.1"	"Spécialiste en marketing dipl. ES, abr."	""	"20.09.2021"	"20.09.2021"	
"0.612.11.0"	"Spécialiste en relations publiques (BF)"	""	"06.11.1991"	"06.01.2026"	
"0.612.7.1"	"Technicien/ne en marketing (BF), abr. 2008"	""	"23.03.2007"	"23.10.2008"	
"0.612.7.2"	"Technicien/ne en marketing direct (BF), abr. 2008"	""	"23.10.2008"	"23.10.2008"	
"0.612.9.1"	"Technicien/ne en publicité (BF), abr. 2000"	""	"11.12.2003"	"09.02.2006"	
"0.613.0.0"	"Achat, vente"	""	"29.10.1991"	"13.02.2004"	
"0.613.53.0"	"Achat, vente (divers)"	""	"26.01.2011"	""	
"0.613.42.1"	"Acheteur/euse dipl. (DF), abr. 2011"	""	"05.09.2011"	"05.09.2011"	
"0.613.30.3"	"Agent/e dipl. (DF), abr. 2009"	""	"06.02.2009"	"06.02.2009"	
"0.613.51.0"	"Agent/e relation client CFC"	""	"22.09.2009"	"11.10.2010"	
"0.613.23.2"	"Aide en pharmacie (CFC), abr. 2001"	""	"11.12.2003"	"29.03.2010"	
"0.613.3.0"	"Antiquaire"	""	"06.11.1991"	"25.10.2004"	
"0.613.24.0"	"Assistant/e de gestion en pharmacie (BF)"	""	"08.11.1999"	"28.10.2014"	
"0.613.44.20"	"Assistant/e du commerce de détail (After-Sales Automobile) AFP"	""	"27.01.2005"	"28.07.2021"	
"0.613.44.11"	"Assistant/e du commerce de détail (Alimentation) AFP"	""	"27.01.2005"	"28.07.2021"	
"0.613.44.29"	"Assistant/e du commerce de détail (Ameublement) AFP"	""	"02.02.2005"	"13.03.2007"	
"0.613.44.17"	"Assistant/e du commerce de détail (Articles de sport) AFP"	""	"27.01.2005"	"13.03.2007"	
"0.613.44.6"	"Assistant/e du commerce de détail (Bijoux, pierres précieuses et montres) AFP"	""	"27.01.2005"	"29.07.2021"	
"0.613.44.12"	"Assistant/e du commerce de détail (Boulangerie-confiserie) AFP"	""	"27.01.2005"	"03.08.2021"	
"0.613.44.38"	"Assistant/e du commerce de détail (branche Boulangerie-pâtisserie-confiserie) AFP, abr. 2022"	""	"19.01.2022"	"26.01.2022"	
"0.613.44.13"	"Assistant/e du commerce de détail (branche Économie carnée) AFP, abr. 2022"	""	"27.01.2005"	"29.07.2021"	
"0.613.44.25"	"Assistant/e du commerce de détail (branche Flower) AFP, abr. 2022"	""	"27.01.2005"	"29.07.2021"	
"0.613.44.26"	"Assistant/e du commerce de détail (branche Garden) AFP, abr. 2022"	""	"27.01.2005"	"29.07.2021"	
"0.613.44.21"	"Assistant/e du commerce de détail (branche Instruments de musique) AFP, abr. 2022"	""	"27.01.2005"	"29.07.2021"	
"0.613.44.14"	"Assistant/e du commerce de détail (branche Kiosque) AFP, abr. 2022"	""	"27.01.2005"	"29.07.2021"	
"0.613.44.37"	"Assistant/e du commerce de détail (branche Logistique des pièces détachées) AFP, abr. 2022"	""	"19.01.2022"	"26.01.2022"	
"0.613.44.19"	"Assistant/e du commerce de détail (branche Maroquinerie et articles de voyage) AFP, abr. 2022"	""	"27.01.2005"	"29.07.2021"	
"0.613.44.36"	"Assistant/e du commerce de détail (branche Produits nutritifs et stimulants) AFP, abr. 2022"	""	"19.01.2022"	"26.01.2022"	
"0.613.44.22"	"Assistant/e du commerce de détail (branche Supports audio, audiovisuel et musique) AFP, abr. 2016"	""	"27.01.2005"	"29.07.2021"	
"0.613.44.7"	"Assistant/e du commerce de détail (branche Tapis et revêtements de sols) AFP, abr. 2022"	""	"27.01.2005"	"29.07.2021"	
"0.613.44.16"	"Assistant/e du commerce de détail (Chaussures) AFP"	""	"27.01.2005"	"13.03.2007"	
"0.613.44.9"	"Assistant/e du commerce de détail (Consumer-Electronics) AFP"	""	"27.01.2005"	"13.03.2007"	
"0.613.44.3"	"Assistant/e du commerce de détail (Do it yourself) AFP"	""	"27.01.2005"	"29.07.2021"	
"0.613.44.5"	"Assistant/e du commerce de détail (Électro-ménager) AFP"	""	"27.01.2005"	"04.06.2020"	
"0.613.44.24"	"Assistant/e du commerce de détail (Jouets) AFP"	""	"27.01.2005"	"13.03.2007"	
"0.613.44.27"	"Assistant/e du commerce de détail (Landi) AFP"	""	"27.01.2005"	"13.03.2007"	
"0.613.44.39"	"Assistant/e du commerce de détail (Living & Style) AFP, en procédure d'audition"	""	"29.04.2026"	"29.04.2026"	
"0.613.44.28"	"Assistant/e du commerce de détail (Magasins spécialisés en biens zoologiques) AFP"	""	"27.01.2005"	"13.03.2007"	
"0.613.44.4"	"Assistant/e du commerce de détail (Ménage) AFP"	""	"27.01.2005"	"13.03.2007"	
"0.613.44.23"	"Assistant/e du commerce de détail (Papeterie) AFP"	""	"27.01.2005"	"13.03.2007"	
"0.613.44.18"	"Assistant/e du commerce de détail (Parfumerie) AFP"	""	"27.01.2005"	"28.07.2021"	
"0.613.44.8"	"Assistant/e du commerce de détail (Peinture) AFP"	""	"27.01.2005"	"13.03.2007"	
"0.613.44.10"	"Assistant/e du commerce de détail (Poste) AFP"	""	"27.01.2005"	"13.03.2007"	
"0.613.44.2"	"Assistant/e du commerce de détail (Quincaillerie) AFP"	""	"27.01.2005"	"23.06.2011"	
"0.613.44.33"	"Assistant/e du commerce de détail (Sales Automobile) AFP"	""	"23.12.2020"	"28.07.2021"	
"0.613.44.15"	"Assistant/e du commerce de détail (Textile) AFP"	""	"27.01.2005"	"13.03.2007"	
"0.613.44.31"	"Assistant/e du commerce de détail (Transports publics) AFP"	""	"14.03.2016"	"15.08.2016"	
"0.613.44.0"	"Assistant/e du commerce de détail AFP"	""	"17.09.2004"	"29.04.2026"	
"0.613.23.0"	"Assistant/e en pharmacie CFC"	""	"06.11.1991"	"19.07.2021"	
"0.613.1.2"	"Bouquiniste"	""	"11.12.2003"	"19.04.2006"	
"0.613.37.1"	"Call Center Supervisor"	""	"31.05.2007"	"10.12.2007"	
"0.613.31.0"	"Chef/fe de vente dipl. (DF)"	""	"06.11.1991"	"09.07.2019"	
"0.613.3.1"	"Commissaire-priseur/euse"	""	"11.12.2003"	"23.03.2009"	
"0.613.30.2"	"Conseiller/ère de vente dipl. (DF), abr. 2009"	""	"06.02.2009"	"06.02.2009"	
"0.613.48.0"	"Conseiller/ère de vente en horlogerie (BF)"	""	"14.01.2008"	"12.11.2008"	
"0.613.55.0"	"Conseiller/ère en revêtements de sols (BF)"	""	"19.04.2012"	"29.07.2014"	
"0.613.37.2"	"Contact Center Supervisor (BF), abr. 2023"	""	"13.09.2023"	"03.11.2023"	
"0.613.30.1"	"Coordinateur/trice de vente (BF), abr. 2009"	""	"23.03.2007"	"11.02.2009"	
"0.613.25.2"	"Délégué/e médical/e dipl. (DF), abr. 2012"	""	"20.03.2012"	"20.03.2012"	
"0.613.49.0"	"Délégué/e médical/e SHQA"	""	"19.11.2008"	"02.04.2012"	
"0.613.14.2"	"Détaillant/e diplômé/e (DF), abr. 1999"	""	"11.12.2003"	"21.02.2006"	
"0.613.16.0"	"Droguiste CFC"	""	"06.11.1991"	"11.10.2010"	
"0.613.17.0"	"Droguiste dipl. ES"	""	"21.10.1999"	"24.02.2020"	
"0.613.14.3"	"Économiste du commerce de détail dipl. (DF), abr. 2012"	""	"01.09.2011"	"04.06.2020"	
"0.613.1.3"	"Employé/e de librairie"	""	"11.12.2003"	"19.04.2006"	
"0.613.18.1"	"Employé/e spécialisé/e en photographie (CFC), abr. 2005"	""	"18.01.2005"	"25.01.2005"	
"0.613.18.2"	"Fotofinisher (CFC), abr. 2005"	""	"18.01.2005"	"12.09.2005"	
"0.613.45.31"	"Gestionnaire de vente (CFC), abr. 2005"	""	"28.09.2005"	"28.09.2005"	
"0.613.45.0"	"Gestionnaire du commerce de détail CFC, Domaine spécifique Conception et réalisation d’expériences d’achat"	""	"28.09.2005"	"29.04.2026"	
"0.613.45.56"	"Gestionnaire du commerce de détail CFC, Domaine spécifique Conseil à la clientèle/Gestion des marchandises, abr. 2022"	""	"25.01.2021"	"26.07.2021"	
"0.613.57.0"	"Gestionnaire du commerce de détail CFC, Domaine spécifique Gestion de magasins en ligne"	""	"22.01.2021"	"29.04.2026"	
"0.613.45.20"	"Gestionnaire du commerce de détail Conception et réalisation d’expériences d’achat (After-Sales Automobile) CFC"	""	"28.09.2005"	"27.07.2021"	
"0.613.45.11"	"Gestionnaire du commerce de détail Conception et réalisation d’expériences d’achat (Alimentation) CFC"	""	"28.09.2005"	"27.07.2021"	
"0.613.45.6"	"Gestionnaire du commerce de détail Conception et réalisation d’expériences d’achat (Ameublement) CFC"	""	"28.09.2005"	"27.07.2021"	
"0.613.45.16"	"Gestionnaire du commerce de détail Conception et réalisation d’expériences d’achat (Articles de sport) CFC"	""	"28.09.2005"	"27.07.2021"	
"0.613.45.17"	"Gestionnaire du commerce de détail Conception et réalisation d’expériences d’achat (Bijoux, pierres précieuses et montres) CFC"	""	"28.09.2005"	"02.08.2021"	
"0.613.45.10"	"Gestionnaire du commerce de détail Conception et réalisation d’expériences d’achat (Boulangerie-confiserie) CFC"	""	"28.09.2005"	"03.08.2021"	
"0.613.45.15"	"Gestionnaire du commerce de détail Conception et réalisation d’expériences d’achat (Chaussures) CFC"	""	"28.09.2005"	"27.07.2021"	
"0.613.45.9"	"Gestionnaire du commerce de détail Conception et réalisation d’expériences d’achat (Consumer-Electronics) CFC"	""	"28.09.2005"	"27.07.2021"	
"0.613.45.2"	"Gestionnaire du commerce de détail Conception et réalisation d’expériences d’achat (Do it yourself) CFC"	""	"28.09.2005"	"28.07.2021"	
"0.613.45.3"	"Gestionnaire du commerce de détail Conception et réalisation d’expériences d’achat (Électro-ménager) CFC"	""	"28.09.2005"	"27.07.2021"	
"0.613.45.24"	"Gestionnaire du commerce de détail Conception et réalisation d’expériences d’achat (Jouets) CFC"	""	"28.09.2005"	"27.07.2021"	
"0.613.45.27"	"Gestionnaire du commerce de détail Conception et réalisation d’expériences d’achat (Landi) CFC"	""	"28.09.2005"	"27.07.2021"	
"0.613.45.57"	"Gestionnaire du commerce de détail Conception et réalisation d’expériences d’achat (Living & Style) CFC, en procédure d'audition"	""	"29.04.2026"	"29.04.2026"	
"0.613.45.28"	"Gestionnaire du commerce de détail Conception et réalisation d’expériences d’achat (Magasins spécialisés en biens zoologiques) CFC"	""	"28.09.2005"	"27.07.2021"	
"0.613.45.30"	"Gestionnaire du commerce de détail Conception et réalisation d’expériences d’achat (Ménage) CFC"	""	"28.09.2005"	"27.07.2021"	
"0.613.45.23"	"Gestionnaire du commerce de détail Conception et réalisation d’expériences d’achat (Papeterie) CFC"	""	"28.09.2005"	"27.07.2021"	
"0.613.45.18"	"Gestionnaire du commerce de détail Conception et réalisation d’expériences d’achat (Parfumerie) CFC"	""	"28.09.2005"	"27.07.2021"	
"0.613.45.8"	"Gestionnaire du commerce de détail Conception et réalisation d’expériences d’achat (Peinture) CFC"	""	"28.09.2005"	"27.07.2021"	
"0.613.45.29"	"Gestionnaire du commerce de détail Conception et réalisation d’expériences d’achat (Poste) CFC"	""	"28.09.2005"	"27.07.2021"	
"0.613.45.1"	"Gestionnaire du commerce de détail Conception et réalisation d’expériences d’achat (Quincaillerie) CFC"	""	"28.09.2005"	"27.07.2021"	
"0.613.45.35"	"Gestionnaire du commerce de détail Conception et réalisation d’expériences d’achat (Sales Automobile) CFC"	""	"25.01.2021"	"27.07.2021"	
"0.613.45.14"	"Gestionnaire du commerce de détail Conception et réalisation d’expériences d’achat (Textile) CFC"	""	"28.09.2005"	"27.07.2021"	
"0.613.45.33"	"Gestionnaire du commerce de détail Conception et réalisation d’expériences d’achat (Transports publics) CFC"	""	"14.03.2016"	"27.07.2021"	
"0.613.45.46"	"Gestionnaire du commerce de détail Conseil à la clientèle (branche Transports publics) CFC, abr. 2022"	""	"25.01.2021"	"02.08.2021"	
"0.613.45.45"	"Gestionnaire du commerce de détail Conseil à la clientèle/Gestion des marchandises (branche Ameublement) CFC, abr. 2022"	""	"25.01.2021"	"29.07.2021"	
"0.613.45.53"	"Gestionnaire du commerce de détail Conseil à la clientèle/Gestion des marchandises (branche Articles de sport) CFC, abr. 2022"	""	"25.01.2021"	"29.07.2021"	
"0.613.45.36"	"Gestionnaire du commerce de détail Conseil à la clientèle/Gestion des marchandises (branche Boulangerie-pâtisserie-confiserie) CFC, abr. 2022"	""	"25.01.2021"	"29.07.2021"	
"0.613.45.51"	"Gestionnaire du commerce de détail Conseil à la clientèle/Gestion des marchandises (branche Chaussures) CFC, abr. 2022"	""	"25.01.2021"	"29.07.2021"	
"0.613.45.37"	"Gestionnaire du commerce de détail Conseil à la clientèle/Gestion des marchandises (branche Consumer-Electronics) CFC, abr. 2022"	""	"25.01.2021"	"29.07.2021"	
"0.613.45.38"	"Gestionnaire du commerce de détail Conseil à la clientèle/Gestion des marchandises (branche Do-it-yourself) CFC, abr. 2022"	""	"25.01.2021"	"29.07.2021"	
"0.613.45.12"	"Gestionnaire du commerce de détail Conseil à la clientèle/Gestion des marchandises (branche Économie carnée) CFC, abr. 2022"	""	"28.09.2005"	"28.07.2021"	
"0.613.45.40"	"Gestionnaire du commerce de détail Conseil à la clientèle/Gestion des marchandises (branche Électro-ménager) CFC, abr. 2022"	""	"25.01.2021"	"29.07.2021"	
"0.613.45.25"	"Gestionnaire du commerce de détail Conseil à la clientèle/Gestion des marchandises (branche Flower) CFC, abr. 2022"	""	"28.09.2005"	"28.07.2021"	
"0.613.45.26"	"Gestionnaire du commerce de détail Conseil à la clientèle/Gestion des marchandises (branche Garden) CFC, abr. 2022"	""	"28.09.2005"	"28.07.2021"	
"0.613.45.21"	"Gestionnaire du commerce de détail Conseil à la clientèle/Gestion des marchandises (branche Instruments de musique) CFC, abr. 2022"	""	"28.09.2005"	"28.07.2021"	
"0.613.45.52"	"Gestionnaire du commerce de détail Conseil à la clientèle/Gestion des marchandises (branche Jouets) CFC, abr. 2022"	""	"25.01.2021"	"29.07.2021"	
"0.613.45.13"	"Gestionnaire du commerce de détail Conseil à la clientèle/Gestion des marchandises (branche Kiosque) CFC, abr. 2022"	""	"28.09.2005"	"28.07.2021"	
"0.613.45.43"	"Gestionnaire du commerce de détail Conseil à la clientèle/Gestion des marchandises (branche Landi) CFC, abr. 2022"	""	"25.01.2021"	"29.07.2021"	
"0.613.45.34"	"Gestionnaire du commerce de détail Conseil à la clientèle/Gestion des marchandises (branche Logistique des pièces détachées) CFC, abr. 2022"	""	"25.01.2021"	"29.07.2021"	
"0.613.45.55"	"Gestionnaire du commerce de détail Conseil à la clientèle/Gestion des marchandises (branche Magasins spécialisés en biens zoologiques) CFC, abr. 2022"	""	"25.01.2021"	"29.07.2021"	
"0.613.45.19"	"Gestionnaire du commerce de détail Conseil à la clientèle/Gestion des marchandises (branche Maroquinerie et articles de voyage) CFC, abr. 2022"	""	"28.09.2005"	"28.07.2021"	
"0.613.45.42"	"Gestionnaire du commerce de détail Conseil à la clientèle/Gestion des marchandises (branche Ménage) CFC, abr. 2022"	""	"25.01.2021"	"29.07.2021"	
"0.613.45.50"	"Gestionnaire du commerce de détail Conseil à la clientèle/Gestion des marchandises (branche Montres, bijoux, pierres précieuses) CFC, abr. 2022"	""	"25.01.2021"	"29.07.2021"	
"0.613.45.47"	"Gestionnaire du commerce de détail Conseil à la clientèle/Gestion des marchandises (branche Papeterie) CFC, abr. 2022"	""	"25.01.2021"	"29.07.2021"	
"0.613.45.48"	"Gestionnaire du commerce de détail Conseil à la clientèle/Gestion des marchandises (branche Parfumerie) CFC, abr. 2022"	""	"25.01.2021"	"29.07.2021"	
"0.613.45.41"	"Gestionnaire du commerce de détail Conseil à la clientèle/Gestion des marchandises (branche Peinture) CFC, abr. 2022"	""	"25.01.2021"	"29.07.2021"	
"0.613.45.49"	"Gestionnaire du commerce de détail Conseil à la clientèle/Gestion des marchandises (branche Poste) CFC, abr. 2022"	""	"25.01.2021"	"29.07.2021"	
"0.613.45.44"	"Gestionnaire du commerce de détail Conseil à la clientèle/Gestion des marchandises (branche Produits nutritifs et stimulants) CFC, abr. 2022"	""	"25.01.2021"	"29.07.2021"	
"0.613.45.39"	"Gestionnaire du commerce de détail Conseil à la clientèle/Gestion des marchandises (branche Quincaillerie) CFC, abr. 2022"	""	"25.01.2021"	"29.07.2021"	
"0.613.45.22"	"Gestionnaire du commerce de détail Conseil à la clientèle/Gestion des marchandises (branche Supports audio, audiovisuel et musique) CFC, abr. 2016"	""	"28.09.2005"	"28.07.2021"	
"0.613.45.7"	"Gestionnaire du commerce de détail Conseil à la clientèle/Gestion des marchandises (branche Tapis et revêtements de sols) CFC, abr. 2022"	""	"28.09.2005"	"28.07.2021"	
"0.613.45.54"	"Gestionnaire du commerce de détail Conseil à la clientèle/Gestion des marchandises (branche Textile) CFC, abr. 2022"	""	"25.01.2021"	"29.07.2021"	
"0.613.57.1"	"Gestionnaire du commerce de détail Gestion de magasins en ligne (After-Sales Automobile) CFC"	""	"22.01.2021"	"26.07.2021"	
"0.613.57.11"	"Gestionnaire du commerce de détail Gestion de magasins en ligne (Alimentation) CFC"	""	"22.01.2021"	"26.07.2021"	
"0.613.57.12"	"Gestionnaire du commerce de détail Gestion de magasins en ligne (Ameublement) CFC"	""	"22.01.2021"	"26.07.2021"	
"0.613.57.20"	"Gestionnaire du commerce de détail Gestion de magasins en ligne (Articles de sport) CFC"	""	"22.01.2021"	"26.07.2021"	
"0.613.57.17"	"Gestionnaire du commerce de détail Gestion de magasins en ligne (Bijoux, pierres précieuses et montres) CFC"	""	"22.01.2021"	"02.08.2021"	
"0.613.57.3"	"Gestionnaire du commerce de détail Gestion de magasins en ligne (Boulangerie-confiserie) CFC"	""	"22.01.2021"	"03.08.2021"	
"0.613.57.18"	"Gestionnaire du commerce de détail Gestion de magasins en ligne (Chaussures) CFC"	""	"22.01.2021"	"26.07.2021"	
"0.613.57.4"	"Gestionnaire du commerce de détail Gestion de magasins en ligne (Consumer-Electronics) CFC"	""	"22.01.2021"	"26.07.2021"	
"0.613.57.5"	"Gestionnaire du commerce de détail Gestion de magasins en ligne (Do it yourself) CFC"	""	"22.01.2021"	"28.07.2021"	
"0.613.57.7"	"Gestionnaire du commerce de détail Gestion de magasins en ligne (Électro-ménager) CFC"	""	"22.01.2021"	"26.07.2021"	
"0.613.57.19"	"Gestionnaire du commerce de détail Gestion de magasins en ligne (Jouets) CFC"	""	"22.01.2021"	"26.07.2021"	
"0.613.57.10"	"Gestionnaire du commerce de détail Gestion de magasins en ligne (Landi) CFC"	""	"22.01.2021"	"26.07.2021"	
"0.613.57.23"	"Gestionnaire du commerce de détail Gestion de magasins en ligne (Living & Style) CFC, en procédure d'audition"	""	"29.04.2026"	"29.04.2026"	
"0.613.57.22"	"Gestionnaire du commerce de détail Gestion de magasins en ligne (Magasins spécialisés en biens zoologiques) CFC"	""	"22.01.2021"	"26.07.2021"	
"0.613.57.9"	"Gestionnaire du commerce de détail Gestion de magasins en ligne (Ménage) CFC"	""	"22.01.2021"	"26.07.2021"	
"0.613.57.14"	"Gestionnaire du commerce de détail Gestion de magasins en ligne (Papeterie) CFC"	""	"22.01.2021"	"26.07.2021"	
"0.613.57.15"	"Gestionnaire du commerce de détail Gestion de magasins en ligne (Parfumerie) CFC"	""	"22.01.2021"	"26.07.2021"	
"0.613.57.8"	"Gestionnaire du commerce de détail Gestion de magasins en ligne (Peinture) CFC"	""	"22.01.2021"	"26.07.2021"	
"0.613.57.16"	"Gestionnaire du commerce de détail Gestion de magasins en ligne (Poste) CFC"	""	"22.01.2021"	"26.07.2021"	
"0.613.57.6"	"Gestionnaire du commerce de détail Gestion de magasins en ligne (Quincaillerie) CFC"	""	"22.01.2021"	"26.07.2021"	
"0.613.57.2"	"Gestionnaire du commerce de détail Gestion de magasins en ligne (Sales Automobile) CFC"	""	"22.01.2021"	"26.07.2021"	
"0.613.57.21"	"Gestionnaire du commerce de détail Gestion de magasins en ligne (Textile) CFC"	""	"22.01.2021"	"26.07.2021"	
"0.613.57.13"	"Gestionnaire du commerce de détail Gestion de magasins en ligne (Transports publics) CFC"	""	"22.01.2021"	"26.07.2021"	
"0.613.22.0"	"Key account manager dipl. (DF), abr. 2014"	""	"21.10.1999"	"23.06.2014"	
"0.613.52.0"	"Libraire (BF)"	""	"22.11.2010"	"28.02.2011"	
"0.613.1.0"	"Libraire CFC"	""	"10.05.2000"	"01.12.2008"	
"0.613.1.1"	"Libraire et employé/e d'édition (CFC), abr. 2000"	""	"11.12.2003"	"26.11.2010"	
"0.613.14.0"	"Manager en commerce de détail (DF)"	""	"21.10.1999"	"07.02.2013"	
"0.613.59.0"	"Négociant/e en matières premières"	""	"27.06.2024"	"27.06.2024"	
"0.613.11.0"	"Opérateur/trice de centre d'appels"	""	"19.01.2000"	"10.12.2007"	
"0.613.30.4"	"Représentant/e de commerce dipl. (DF), abr. 1995"	""	"06.02.2009"	"06.02.2009"	
"0.613.42.0"	"Responsable achats (DF)"	""	"05.11.1991"	"05.09.2011"	
"0.613.37.0"	"Responsable d’équipe service clients (BF)"	""	"02.10.2003"	"03.11.2023"	
"0.613.39.0"	"Spécialiste d'achat/approvisionnement (BF)"	""	"30.09.2003"	"25.10.2004"	
"0.613.30.0"	"Spécialiste de vente (BF)"	""	"06.11.1991"	"23.02.2015"	
"0.613.4.0"	"Spécialiste des branches de la boulangerie-pâtisserie-confiserie (BF)"	""	"18.06.1996"	"23.06.2015"	
"0.613.56.0"	"Spécialiste des marchés publics (BF)"	""	"20.03.2018"	"22.05.2019"	
"0.613.15.0"	"Spécialiste du commerce de détail (BF)"	""	"21.10.1999"	"22.12.2023"	
"0.613.15.11"	"Spécialiste du commerce fruits et légumes (BF), abr. 2019"	""	"28.01.2019"	"28.01.2019"	
"0.613.58.0"	"Spécialiste du e-commerce (BF)"	""	"18.11.2021"	"05.01.2022"	
"0.613.15.6"	"Spécialiste en articles de ménage (BF), abr. 2011"	""	"22.11.2010"	"22.11.2010"	
"0.613.15.5"	"Spécialiste en articles de sport (BF), abr. 2011"	""	"22.11.2010"	"22.11.2010"	
"0.613.15.10"	"Spécialiste en commerce de textile (BF), abr. 2013"	""	"21.09.2015"	"21.09.2015"	
"0.613.15.2"	"Spécialiste en fruits et légumes (BF), abr. 2011"	""	"22.11.2010"	"22.11.2010"	
"0.613.19.0"	"Spécialiste en photographie (BF)"	""	"08.11.1999"	"12.09.2005"	
"0.613.38.0"	"Spécialiste en photographie (DF)"	""	"08.11.1999"	"11.01.2017"	
"0.613.18.5"	"Spécialiste en photographie (orientation Conseil et vente) CFC, abr. 2022"	""	"25.01.2005"	"14.06.2021"	
"0.613.18.4"	"Spécialiste en photographie (orientation Finishing) CFC, abr. 2022"	""	"25.01.2005"	"14.06.2021"	
"0.613.18.3"	"Spécialiste en photographie (orientation Photographie) CFC, abr. 2022"	""	"25.01.2005"	"14.06.2021"	
"0.613.18.7"	"Spécialiste en photographie CFC, abr. 2022"	""	"03.11.2020"	"14.06.2021"	
"0.613.18.0"	"Spécialiste en photomédias CFC"	""	"06.11.1991"	"08.06.2021"	
"0.613.15.4"	"Spécialiste en produits diététiques (BF), abr. 2011"	""	"22.11.2010"	"22.11.2010"	
"0.613.15.3"	"Spécialiste en tapis et revêtements de sols et de murs (BF), abr. 2011"	""	"22.11.2010"	"22.11.2010"	
"0.613.15.9"	"Spécialiste en textiles (BF), abr. 2002"	""	"21.09.2015"	"21.09.2015"	
"0.613.25.0"	"Spécialiste pharmaceutique (BF)"	""	"06.11.1991"	"06.02.2013"	
"0.613.15.7"	"Spécialiste technique de ferrements (BF), abr. 2011"	""	"22.11.2010"	"22.11.2010"	
"0.613.15.8"	"Spécialiste technique en outillage (BF), abr. 2011"	""	"22.11.2010"	"22.11.2010"	
"0.613.11.1"	"Téléphoniste"	""	"06.06.2000"	"11.04.2006"	
"0.613.45.32"	"Vendeur/-euse (CFC), abr. 2005"	""	"28.09.2005"	"28.09.2005"	
"0.613.18.6"	"Vendeur/euse, Assistant/e du commerce de détail (Photo) (CFC), abr. 2005"	""	"27.01.2005"	"12.09.2005"	
"0.614.0.0"	"Fiduciaire, immobilier, controlling"	""	"28.08.2007"	"28.08.2007"	
"0.614.5.0"	"Administrateur/trice de biens immobiliers dipl. (DF)"	""	"05.11.1991"	"10.07.2012"	
"0.614.8.0"	"Agent/e fiduciaire (BF)"	""	"06.11.1991"	"17.02.2025"	
"0.614.11.3"	"Agent/e immobilier/ière"	""	"28.10.2014"	"28.10.2014"	
"0.614.3.1"	"Comptable (BF), abr. 1999"	""	"11.12.2003"	"28.08.2007"	
