"No. SD"	"Nom F"	"SB-Code"	"Créé le"	"Modifié le"
"0.140.4.0"	"Pêcheur/euse professionnel/le (BF), abr. 2020"	""	""	"27.10.2020"	
"0.140.24.0"	"Physiothérapeute pour animaux (DF)"	""	"04.02.2003"	"11.02.2009"	
"0.140.25.0"	"Pisciculteur/trice"	""	""	"19.10.2004"	
"0.140.29.9"	"Professionnel/le du cheval (Attelage) CFC"	""	"23.01.2013"	"10.08.2023"	
"0.140.29.4"	"Professionnel/le du cheval (Chevaux d'allures) CFC"	""	"24.01.2008"	"10.08.2023"	
"0.140.29.5"	"Professionnel/le du cheval (Chevaux de course) CFC"	""	"24.01.2008"	"10.08.2023"	
"0.140.29.2"	"Professionnel/le du cheval (Monte classique) CFC"	""	"24.01.2008"	"10.08.2023"	
"0.140.29.3"	"Professionnel/le du cheval (Monte western) CFC"	""	"24.01.2008"	"10.08.2023"	
"0.140.29.14"	"Professionnel/le du cheval (orientation Attelage) CFC, abr. 2024"	""	"14.11.2022"	"14.08.2023"	
"0.140.29.13"	"Professionnel/le du cheval (orientation Chevaux d'allures) CFC, abr. 2024"	""	"14.11.2022"	"14.08.2023"	
"0.140.29.15"	"Professionnel/le du cheval (orientation Chevaux de course) CFC, abr. 2024"	""	"14.11.2022"	"14.08.2023"	
"0.140.29.11"	"Professionnel/le du cheval (orientation Monte classique) CFC, abr. 2024"	""	"14.11.2022"	"14.08.2023"	
"0.140.29.12"	"Professionnel/le du cheval (orientation Monte western) CFC, abr. 2024"	""	"14.11.2022"	"14.08.2023"	
"0.140.29.10"	"Professionnel/le du cheval (orientation Soins aux chevaux) CFC, abr. 2024"	""	"14.11.2022"	"14.08.2023"	
"0.140.29.1"	"Professionnel/le du cheval (Soins et services) CFC"	""	"24.01.2008"	"10.08.2023"	
"0.140.29.0"	"Professionnel/le du cheval CFC"	""	"12.04.2007"	"10.08.2023"	
"0.140.36.0"	"Samaritain/e pour chevaux"	""	"20.09.2011"	"11.11.2017"	
"0.140.19.10"	"Soigneur/euse animalier/ière (Animaux de compagnie) CFC, en procédure d'audition"	""	"17.02.2026"	"17.02.2026"	
"0.140.19.12"	"Soigneur/euse animalier/ière (Animaux d’expérience) CFC, en procédure d'audition"	""	"17.02.2026"	"17.02.2026"	
"0.140.19.11"	"Soigneur/euse animalier/ière (Animaux sauvages, de zoo et d’aquarium) CFC, en procédure d'audition"	""	"17.02.2026"	"17.02.2026"	
"0.140.19.13"	"Soigneur/euse animalier/ière (Toilettage) CFC, en procédure d'audition"	""	"17.02.2026"	"17.02.2026"	
"0.140.19.9"	"Soigneur/euse animalier/ière CFC, en procédure d'audition"	""	"17.02.2026"	"17.02.2026"	
"0.140.21.0"	"Spécialiste du domaine équin (BF)"	""	"17.07.2001"	"09.07.2014"	
"0.140.5.0"	"Technicien/ne en insémination artificielle"	""	""	"19.10.2004"	
"0.140.34.0"	"Toiletteur/euse pour chiens"	""	"26.01.2011"	"26.01.2011"	
"0.140.17.0"	"Vétérinaire (U)"	""	""	"17.07.2013"	
"0.150.0.0"	"Horticulture, paysagisme"	""	"30.11.1999"	"18.09.1996"	
"0.150.5.3"	"Conseiller/ère en horticulture"	""	"11.12.2003"	"29.08.2005"	
"0.150.1.7"	"Conseiller/ère horticole (BF), type, abr. 2017"	""	"20.06.2012"	"22.08.2017"	
"0.150.1.1"	"Contremaître/esse horticulteur/trice (BF), abr. 2009"	""	"05.08.2010"	"05.08.2010"	
"0.150.1.12"	"Contremaître/esse jardinier/ière (BF), abr. 2017"	""	"16.03.2017"	"21.08.2017"	
"0.150.1.6"	"Cultivateur/trice de plantes vivaces (BF), type, abr. 2017"	""	"20.06.2012"	"22.08.2017"	
"0.150.2.0"	"Fleuriste (BF)"	""	""	"19.10.2004"	
"0.150.12.0"	"Fleuriste (DF)"	""	""	"18.08.2016"	
"0.150.13.0"	"Fleuriste AFP"	""	"06.02.2007"	"23.10.2007"	
"0.150.4.0"	"Fleuriste CFC"	""	""	"08.03.2007"	
"0.150.12.1"	"Fleuriste dipl. (DF), abr. 2002"	""	"11.12.2003"	"09.02.2006"	
"0.150.1.4"	"Floriculteur/trice (BF), type, abr. 2017"	""	"20.06.2012"	"22.08.2017"	
"0.150.1.0"	"Horticulteur/trice (BF)"	""	""	"21.08.2017"	
"0.150.5.6"	"Horticulteur/trice (orientation Floriculture) CFC, abr. 2024"	""	"27.09.2005"	"13.09.2023"	
"0.150.5.8"	"Horticulteur/trice (orientation Pépinière) CFC, abr. 2024"	""	"27.09.2005"	"13.09.2023"	
"0.150.5.7"	"Horticulteur/trice (orientation Plantes vivaces) CFC, abr. 2024"	""	"27.09.2005"	"13.09.2023"	
"0.150.14.1"	"Horticulteur/trice (Paysagisme) AFP"	""	"14.11.2011"	"15.11.2011"	
"0.150.5.9"	"Horticulteur/trice (Paysagisme) CFC"	""	"27.09.2005"	"15.11.2011"	
"0.150.14.2"	"Horticulteur/trice (Production de plantes) AFP"	""	"14.11.2011"	"17.12.2015"	
"0.150.5.10"	"Horticulteur/trice (Production de plantes) CFC"	""	"12.12.2022"	"13.09.2023"	
"0.150.14.0"	"Horticulteur/trice AFP"	""	"27.04.2010"	"14.11.2011"	
"0.150.5.0"	"Horticulteur/trice CFC"	""	"05.05.1992"	"12.09.2023"	
"0.150.5.5"	"Horticulteur/trice de plantes en pots et de fleurs coupées (CFC), abr. 2000"	""	"11.12.2003"	"02.02.2006"	
"0.150.5.2"	"Horticulteur/trice de plantes vivaces et d'arbustes (CFC), abr. 2000"	""	"11.12.2003"	"02.02.2006"	
"0.150.5.1"	"Horticulteur/trice-paysagiste (CFC), abr. 2000"	""	"11.12.2003"	"02.02.2006"	
"0.150.15.0"	"Horticulture, paysagisme (divers)"	""	"26.01.2011"	""	
"0.150.12.2"	"Maître fleuriste (DF), abr. 2016"	""	"17.05.2016"	"18.08.2016"	
"0.150.6.1"	"Maître horticulteur/trice (DF), abr. 2009"	""	"05.08.2010"	"05.08.2010"	
"0.150.6.0"	"Maître jardinier/ière (DF)"	""	""	"19.02.2015"	
"0.150.1.2"	"Paysagiste (BF), type, abr. 2017"	""	"20.06.2012"	"22.08.2017"	
"0.150.1.5"	"Pépiniériste (BF), type, abr. 2017"	""	"20.06.2012"	"22.08.2017"	
"0.150.5.4"	"Pépiniériste (CFC), abr. 2000"	""	"11.12.2003"	"02.02.2006"	
"0.150.1.3"	"Spécialiste d'entretien des espaces verts (BF), type, abr. 2017"	""	"20.06.2012"	"22.08.2017"	
"0.150.1.8"	"Spécialiste en entretien de cimetières (BF), type, abr. 2017"	""	"20.06.2012"	"22.08.2017"	
"0.150.1.10"	"Spécialiste en gazon de sport et de golf (BF), type, abr. 2017"	""	"20.06.2012"	"22.08.2017"	
"0.150.1.9"	"Spécialiste en jardins naturels (BF), type, abr. 2017"	""	"20.06.2012"	"22.08.2017"	
"0.160.0.0"	"Sciences naturelles"	""	"30.11.1999"	"07.02.2000"	
"0.160.46.0"	"Actuaire (U)"	""	"06.11.1991"	"21.09.2015"	
"0.160.41.0"	"Assistant/e technique universitaire"	""	""	"06.01.2005"	
"0.160.44.2"	"Astronaute"	""	"11.12.2003"	"18.10.2006"	
"0.160.42.0"	"Astronome, astrophysicien/ne (U)"	""	""	"25.03.2009"	
"0.160.49.0"	"Climatologue (U)"	""	"22.04.2020"	"22.04.2020"	
"0.160.13.1"	"Co-météorologue"	""	"11.12.2003"	"12.09.2005"	
"0.160.48.0"	"Collaborateur/trice-météorologue"	""	"20.09.2011"	"05.01.2018"	
"0.160.44.3"	"Cosmonaute"	""	"11.12.2003"	"18.10.2006"	
"0.160.26.0"	"Éthologue (U)"	""	""	"04.06.2020"	
"0.160.45.0"	"Géographe (U)"	""	""	"21.09.2015"	
"0.160.43.0"	"Géologue (U)"	""	""	"06.01.2005"	
"0.160.38.0"	"Géophysicien/ne (U)"	""	""	"06.01.2005"	
"0.160.33.0"	"Herboriste"	""	"29.07.1996"	"13.07.2010"	
"0.160.29.0"	"Mathématicien/ne (U)"	""	""	"06.01.2005"	
"0.160.13.0"	"Météorologue (U)"	""	""	"06.01.2005"	
"0.160.32.0"	"Minéralogiste (U)"	""	""	"06.01.2005"	
"0.160.36.0"	"Nutritionniste (U)"	""	""	"26.04.2007"	
"0.160.28.0"	"Océanographe (U)"	""	""	"06.01.2005"	
"0.160.27.0"	"Paléontologue (U)"	""	""	"06.01.2005"	
"0.160.34.0"	"Pétrographe (U)"	""	""	"21.09.2015"	
"0.160.40.0"	"Physicien/ne (U)"	""	""	"06.01.2005"	
"0.160.30.0"	"Préparateur/trice en herboristerie (ct. TI)"	""	""	"14.03.2012"	
